iter	RMSE
784	6005.732078
785	5990.147251
786	5989.120293
787	5981.201624
788	5972.067074
789	5966.654342
790	5961.348669
791	5953.838187
792	5948.995332
793	5940.433905
794	5939.817424
795	5930.20704
796	5929.623071
797	5923.235998
798	5913.313963
799	5908.997246
800	5899.133997
801	5891.690637
802	5891.09736
803	5883.399068
804	5876.364728
805	5871.249031
806	5861.042609
807	5856.896118
808	5846.801429
809	5836.851007
810	5832.55539
811	5822.552153
812	5814.764806
813	5814.268034
814	5807.178888
815	5793.894686
816	5793.284116
817	5784.052486
818	5775.68701
819	5775.10958
820	5767.806498
821	5758.27714
822	5754.34382
823	5753.716281
824	5746.317065
825	5738.932158
826	5731.746405
827	5713.334489
828	5712.857941
829	5707.813039
830	5706.645256
831	5695.609782
832	5677.748828
833	5673.746735
834	5665.252569
835	5660.531585
836	5652.78056
837	5647.959728
838	5640.21677
839	5628.935269
840	5621.63206
841	5613.548043
842	5604.959958
843	5593.3383
844	5583.27429
845	5574.028977
846	5565.34677
847	5556.40515
848	5548.338634
849	5542.663205
850	5527.077634
851	5519.030845
852	5510.642202
853	5502.616679
854	5502.18032
855	5501.6949
856	5492.784508
857	5492.367439
858	5485.550286
859	5477.926078
860	5468.16461
861	5460.304207
862	5452.277951
863	5446.256317
864	5436.393661
865	5432.257509
866	5422.988676
867	5413.734585
868	5405.749971
869	5405.301968
870	5400.192332
871	5390.756258
872	5382.88201
873	5377.029507
874	5373.031905
875	5366.47144
876	5358.809316
877	5352.244407
878	5344.874798
879	5340.695023
880	5340.31906
881	5333.645873
882	5328.709675
883	5321.960148
884	5316.412236
885	5310.232712
886	5299.428849
887	5288.647054
888	5281.118287
889	5273.302925
890	5265.517805
891	5258.623575
892	5245.94131
893	5241.294397
894	5235.986605
895	5230.948466
896	5226.252229
897	5217.331481
898	5212.627928
899	5205.964552
900	5201.123076
901	5197.320377
902	5189.371721
903	5181.192848
904	5172.096676
905	5167.640097
906	5162.108941
907	5154.016773
908	5150.017606
909	5147.876911
910	5143.532155
911	5137.669552
912	5132.31271
913	5125.903611
914	5119.035934
915	5112.633904
916	5103.687088
917	5100.387134
918	5095.641128
919	5090.298832
920	5086.511783
921	5080.923911
922	5075.537265
923	5066.543327
924	5066.169298
925	5055.00252
926	5044.810311
927	5033.210876
928	5032.866433
929	5030.219036
930	5023.557524
931	5013.722177
932	5006.991411
933	5001.470575
934	4997.45795
935	4992.285658
936	4988.732218
937	4981.74264
938	4972.707977
939	4964.374431
940	4959.523917
941	4949.122447
942	4944.585768
943	4937.371676
944	4932.392032
945	4926.442662
946	4912.559841
947	4909.236788
948	4900.784941
949	4894.047391
950	4887.607527
951	4881.173698
952	4874.029457
953	4867.621023
954	4861.193597
955	4854.833767
956	4847.664113
957	4841.77659
958	4841.424899
959	4836.876931
960	4830.370366
961	4826.963044
962	4816.663752
963	4808.214647
964	4803.252768
965	4798.005505
