iter	Passed	Remaining
877	4427	615
878	4431	610
879	4436	604
880	4440	599
881	4445	594
882	4450	589
883	4454	584
884	4459	579
885	4464	574
886	4468	569
887	4473	564
888	4477	559
889	4482	554
890	4487	548
891	4491	543
892	4496	538
893	4500	533
894	4505	528
895	4509	523
896	4514	518
897	4519	513
898	4523	508
899	4528	503
900	4533	498
901	4537	493
902	4542	487
903	4547	482
904	4551	477
905	4556	472
906	4561	467
907	4566	462
908	4572	457
909	4576	452
910	4580	447
911	4585	442
912	4590	437
913	4595	432
914	4600	427
915	4605	422
916	4610	417
917	4614	412
918	4619	407
919	4624	402
920	4629	397
921	4634	392
922	4639	387
923	4644	381
924	4649	376
925	4653	371
926	4658	366
927	4663	361
928	4668	356
929	4672	351
930	4681	346
931	4686	341
932	4694	337
933	4699	332
934	4703	327
935	4708	321
936	4712	316
937	4717	311
938	4722	306
939	4726	301
940	4731	296
941	4735	291
942	4740	286
943	4745	281
944	4749	276
945	4754	271
946	4759	266
947	4764	261
948	4769	256
949	4774	251
950	4779	246
951	4786	241
952	4791	236
953	4796	231
954	4803	226
955	4808	221
956	4812	216
957	4817	211
958	4821	206
959	4826	201
960	4831	196
961	4836	191
962	4841	186
963	4846	180
964	4851	175
965	4856	170
966	4861	165
967	4867	160
968	4872	155
969	4878	150
970	4883	145
971	4890	140
972	4896	135
973	4904	130
974	4910	125
975	4916	120
976	4922	115
977	4927	110
978	4933	105
979	4938	100
980	4944	95
981	4950	90
982	4956	85
983	4961	80
984	4966	75
985	4970	70
986	4975	65
987	4980	60
988	4985	55
989	4989	50
990	4994	45
991	4999	40
992	5005	35
993	5010	30
994	5015	25
995	5020	20
996	5025	15
997	5030	10
998	5034	5
999	5039	0
